sensor_0,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17
0,3.0,0.0,0,0.0,0,10.0,0,3.0,4.0,0,1.0,7.0,0,2.0,20.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,4.0,0,1.0,7.0,0,2.0,20.0,0.0,2.0
0,3.0,1.0,0,0.0,0,10.0,0,3.0,4.0,0,1.0,7.0,0,2.0,20.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,4.0,0,1.0,7.0,0,2.0,20.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,4.0,0,1.0,7.0,0,2.0,20.0,0.0,2.0
0,3.0,0.0,0,0.0,0,9.0,0,3.0,4.0,0,1.0,7.0,0,2.0,20.0,0.0,2.0
0,3.0,1.0,0,0.0,0,9.0,0,2.0,4.0,0,1.0,7.0,0,1.0,20.0,0.0,2.0
0,3.0,1.0,0,0.0,0,9.0,0,3.0,4.0,0,1.0,7.0,0,1.0,20.0,0.0,2.0
0,3.0,1.0,0,0,0,10.0,0,2.0,4.0,0,1.0,7.0,0,1.0,20.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,4.0,0,1.0,6.0,0,1.0,20.0,0.0,2.0
0,3.0,1.0,0,0,0,10.0,0,3.0,4.0,0,1.0,7.0,0,1.0,19.0,0.0,2.0
0,3.0,0.0,0,0,0,9.0,0,3.0,4.0,0,1.0,7.0,0,1.0,19.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,4.0,0,1.0,6.0,0,1.0,18.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,4.0,0,1.0,7.0,0,1.0,18.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,4.0,0,1.0,6.0,0,1.0,18.0,0.0,2.0
0,3.0,1.0,0,0.0,0,9.0,0,3.0,4.0,0,1.0,6.0,0,1.0,18.0,0.0,2.0
0,3.0,1.0,0,0,0,10.0,0,3.0,4.0,0,1.0,7.0,0,1.0,18.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,4.0,0,1.0,6.0,0,1.0,17.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,3.0,0,0.0,6.0,0,1.0,17.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,3.0,0,1.0,6.0,0,1.0,17.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,3.0,0,1.0,6.0,0,0.0,17.0,0.0,2.0
0,3.0,0.0,0,0,0,9.0,0,3.0,3.0,0,1.0,6.0,0,1.0,17.0,0.0,2.0
0,3.0,1.0,0,0.0,0,9.0,0,3.0,3.0,0,0.0,6.0,0,0.0,16.0,0.0,1.0
0,3.0,1.0,0,0.0,0,9.0,0,4.0,4.0,0,1.0,6.0,0,1.0,16.0,0.0,2.0
0,3.0,1.0,0,0.0,0,9.0,0,3.0,3.0,0,0.0,6.0,0,1.0,15.0,0.0,2.0
0,3.0,1.0,0,0,0,9.0,0,3.0,3.0,0,1.0,6.0,0,0.0,15.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,0.0,6.0,0,0.0,15.0,0.0,1.0
0,3.0,1.0,0,0,0,9.0,0,3.0,3.0,0,1.0,6.0,0,0.0,15.0,0.0,1.0
0,3.0,0.0,0,0,0,9.0,0,3.0,3.0,0,0.0,6.0,0,0.0,14.0,0.0,2.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,0.0,6.0,0,0.0,14.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,1.0,6.0,0,0.0,14.0,0.0,1.0
0,3.0,1.0,0,0,0,9.0,0,3.0,3.0,0,1.0,6.0,0,0.0,14.0,0.0,1.0
0,3.0,1.0,0,0,0,9.0,0,3.0,3.0,0,1.0,6.0,0,0.0,14.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0.0,13.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,4.0,3.0,0,1.0,6.0,0,0.0,14.0,0.0,2.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,1.0,6.0,0,0.0,13.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,0.0,6.0,0,0.0,13.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,0.0,6.0,0,0.0,13.0,0.0,1.0
0,3.0,1.0,0,0,0,9.0,0,3.0,3.0,0,1.0,6.0,0,0.0,13.0,0.0,1.0
0,3.0,1.0,0,0,0,9.0,0,4.0,3.0,0,0.0,5.0,0,0.0,13.0,0.0,1.0
0,3.0,1.0,0,0,0,9.0,0,3.0,3.0,0,1.0,5.0,0,0.0,13.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0.0,12.0,0.0,1.0
0,3.0,0.0,0,0.0,0,8.0,0,4.0,3.0,0,0.0,5.0,0,0.0,12.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0,12.0,0.0,2.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0,12.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,4.0,3.0,0,1.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0,0,9.0,0,4.0,3.0,0,1.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,4.0,3.0,0,1.0,5.0,0,0,10.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0,10.0,0.0,1.0
0,3.0,1.0,0,0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0,0,9.0,0,3.0,3.0,0,0.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0,10.0,0.0,1.0
0,3.0,0.0,0,0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0,10.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,4.0,3.0,0,1.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0.0,11.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0.0,11.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,0.0,5.0,0,0,10.0,0.0,1.0
0,3.0,0.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0,11.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,4.0,3.0,0,1.0,5.0,0,0.0,11.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0.0,11.0,0.0,1.0
0,3.0,0.0,0,0.0,0,9.0,0,4.0,3.0,0,1.0,5.0,0,0,11.0,0.0,1.0
0,3.0,0.0,0,0.0,0,9.0,0,3.0,3.0,0,1.0,5.0,0,0.0,11.0,0.0,2.0
0,3.0,0.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0.0,11.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0.0,11.0,0.0,1.0
0,3.0,0.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0.0,10.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0,10.0,0.0,1.0
0,3.0,0.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0,10.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0,10.0,0.0,1.0
0,3.0,1.0,0,0.0,0,9.0,0,3.0,3.0,0,1.0,5.0,0,0,10.0,0.0,1.0
0,3.0,0.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0.0,10.0,0.0,1.0
0,3.0,0.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0,9.0,0.0,1.0
0,3.0,1.0,0,0.0,0,9.0,0,3.0,3.0,0,1.0,5.0,0,0,10.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,4.0,0,0,9.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0.0,9.0,0.0,1.0
0,3.0,0.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0,9.0,0.0,1.0
0,3.0,1.0,0,0.0,0,8.0,0,3.0,3.0,0,1.0,5.0,0,0,9.0,0.0,1.0
